StockCode,Description,TotalQuantity,TransactionCount,UniqueCustomers,TotalRevenue,AverageUnitPrice
21877,HOME SWEET HOME MUG,4288,308,175,5564.24,1.4109708737864077
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,2383,154,121,1961.85,0.8524683544303797
21879,HEARTS GIFT TAPE,1025,57,52,301.93,0.4596551724137931
21880,RED RETROSPOT TAPE,1446,100,84,661.1400000000001,0.5498019801980198
21881,CUTE CATS TAPE,975,45,37,315.55,0.5708888888888889
21882,SKULLS TAPE,598,38,35,189.98000000000002,0.5202564102564102
21883,STARS GIFT TAPE,1367,94,82,580.87,0.5527659574468086
21884,CAKES AND BOWS GIFT  TAPE,1017,44,43,318.81,0.5036363636363637
21888,BINGO SET,1544,283,211,5691.96,3.832862190812721
21889,WOODEN BOX OF DOMINOES,5740,451,336,7168.45,1.2801295896328295
21890,S/6 WOODEN SKITTLES IN COTTON BAG,1066,177,143,3234.66,3.2392222222222227
21891,TRADITIONAL WOODEN SKIPPING ROPE,7861,345,265,9942.75,1.392136752136752
21892,TRADITIONAL WOODEN CATCH CUP GAME,2897,297,235,3635.5,1.2966666666666666
21894,POTTING SHED SEED ENVELOPES,471,71,57,604.48,1.3172222222222223
21895,POTTING SHED SOW 'N' GROW SET,1,1,1,4.25,4.25
21896,POTTING SHED TWINE,941,92,80,2142.45,2.100537634408602
21897,POTTING SHED CANDLE CITRONELLA,402,2,1,1250.82,2.88
21898,POTTING SHED ROSE CANDLE,445,7,6,1423.03,3.0157142857142856
21899,GARAGE KEY FOB,730,115,81,489.20000000000005,0.7091379310344827
21899,"KEY FOB , GARAGE DESIGN",1827,107,90,1112.67,0.6477981651376147
21900,"KEY FOB , SHED",3076,267,167,1955.88,0.6856716417910448
21901,"KEY FOB , BACK DOOR",1733,235,143,1134.41,0.6778512396694214
21902,"KEY FOB , FRONT  DOOR",1894,162,114,1163.0800000000002,0.6782424242424242
21903,MAN FLU METAL SIGN,1114,155,113,2329.0800000000004,2.236322580645161
21904,HOUSE WRECKING METAL SIGN,50,23,21,105.0,2.1
21905,MORE BUTTER METAL SIGN,684,110,84,705.3100000000001,1.2827272727272727
21906,PHARMACIE FIRST AID TIN,466,100,71,3106.06,6.733762376237624
21907,I'M ON HOLIDAY METAL SIGN,2279,331,208,4730.05,2.113072289156627
21908,CHOCOLATE THIS WAY METAL SIGN,3607,377,220,7149.72,2.1400785340314137
21910,WAY OUT METAL SIGN,36,8,8,59.39999999999999,1.65
21911,GARDEN METAL SIGN,93,21,18,153.45,1.65
21912,VINTAGE SNAKES & LADDERS,1571,268,201,5508.53,3.8400373134328363
21913,VINTAGE SEASIDE JIGSAW PUZZLES,302,91,72,1131.28,3.8275824175824176
21914,BLUE HARMONICA IN BOX,7395,519,307,9173.88,1.2807604562737642
21915,RED  HARMONICA IN BOX,20882,569,350,23677.68,1.261048951048951
21916,SET 12 RETRO WHITE CHALK STICKS,4338,249,156,1761.04,0.43215686274509807
21917,SET 12 KIDS  WHITE CHALK STICKS,4077,188,132,1645.68,0.4274468085106383
21918,SET 12 KIDS COLOUR  CHALK STICKS,6996,285,193,2807.56,0.4270833333333333
21922,UNION STRIPE WITH FRINGE  HAMMOCK,758,167,113,5674.14,7.950238095238096
21925,UNION STRIPE CUSHION COVER,397,69,38,496.25,1.25
21926,RED/CREAM STRIPE CUSHION COVER,400,62,35,492.4,1.2469354838709679
21927,BLUE/CREAM STRIPE CUSHION COVER,583,106,42,721.15,1.2482242990654207
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,7489,459,232,14147.15,2.0558134490238613
21928,JUMBO BAG SCANDINAVIAN PAISLEY,1942,93,76,3421.8,1.9085106382978725
21929,JUMBO BAG PINK VINTAGE PAISLEY,9666,614,308,18040.83,2.038427876823339
21930,JUMBO STORAGE BAG SKULLS,5691,474,220,10859.59,2.027713097713098
21931,JUMBO STORAGE BAG SUKI,11179,791,334,21182.510000000002,2.028306148055207
21932,SCANDINAVIAN PAISLEY PICNIC BAG,2430,322,218,4301.71,1.8558282208588956
21933,PINK VINTAGE PAISLEY PICNIC BAG,2403,286,198,4284.3099999999995,1.8435153583617747
21934,SKULL SHOULDER BAG,1278,144,85,2064.7,1.6458333333333333
21935,SUKI  SHOULDER BAG,1762,205,121,2822.72,1.6440776699029127
21936,RED RETROSPOT PICNIC BAG,3700,397,223,10208.66,2.9441206030150755
21937,STRAWBERRY   PICNIC BAG,1574,212,146,4383.3,2.9274647887323946
21942,SKULLS DESIGN FLANNEL,149,24,14,124.35,0.8308333333333332
21943,CAKES AND RABBITS DESIGN FLANNEL,57,10,7,48.449999999999996,0.85
21944,KITTENS DESIGN FLANNEL,232,33,24,177.88,0.7688235294117647
21945,STRAWBERRIES  DESIGN FLANNEL,225,29,27,190.79,0.8346666666666667
21946,PARTY TIME DESIGN FLANNEL,72,11,8,58.9,0.8081818181818182
21947,SET OF 6 HEART CHOPSTICKS,594,82,62,741.48,1.3603488372093022
21948,SET OF 6 CAKE CHOPSTICKS,417,54,37,541.82,1.404
21949,SET OF 6 STRAWBERRY CHOPSTICKS,613,59,46,725.49,1.305084745762712
21955,DOORMAT UNION JACK GUNS AND ROSES,1157,155,108,6619.41,7.755064102564102
21967,PACK OF 12 SKULL TISSUES,5162,173,129,1504.9799999999998,0.32386363636363635
21972,SET OF 36 DINOSAUR PAPER DOILIES,290,41,37,420.49999999999994,1.45
21973,SET OF 36 MUSHROOM PAPER DOILIES,158,31,26,229.1,1.45
21974,SET OF 36 PAISLEY FLOWER DOILIES,1975,235,177,2854.06,1.492936170212766
21975,PACK OF 60 DINOSAUR CAKE CASES,12035,532,289,5883.22,0.5584798534798535
21976,PACK OF 60 MUSHROOM CAKE CASES,4907,278,182,2480.13,0.5523674911660779
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24129,675,411,11555.45,0.5514076246334311
21980,PACK OF 12 RED RETROSPOT TISSUES,6425,252,193,1974.8899999999999,0.3281349206349206
21981,PACK OF 12 WOODLAND TISSUES,5274,191,143,1506.1399999999999,0.3372020725388601
21982,PACK OF 12 SUKI TISSUES,6906,260,182,1994.6599999999999,0.34217228464419475
21983,PACK OF 12 BLUE PAISLEY TISSUES,2199,125,99,705.77,0.35176
21984,PACK OF 12 PINK PAISLEY TISSUES,3270,158,124,992.6399999999999,0.354875
21985,PACK OF 12 HEARTS DESIGN TISSUES,8541,354,262,2542.17,0.334438202247191
21986,PACK OF 12 PINK POLKADOT TISSUES,3985,155,118,1129.79,0.33987261146496817
21987,PACK OF 6 SKULL PAPER CUPS,2037,149,106,1246.2900000000002,0.6476623376623377
21988,PACK OF 6 SKULL PAPER PLATES,2194,147,101,1663.3,0.8401342281879194
21989,PACK OF 20 SKULL PAPER NAPKINS,2065,205,130,1672.6899999999998,0.8464903846153846
21990,MODERN FLORAL STATIONERY SET,1200,178,128,1719.6,1.499281767955801
21991,BOHEMIAN COLLAGE STATIONERY SET,459,103,80,660.53,1.50875
21992,VINTAGE PAISLEY STATIONERY SET,1151,199,160,1640.29,1.5270243902439025
21993,FLORAL FOLK STATIONERY SET,1348,206,151,1912.3500000000001,1.5241346153846154
22021,BLUE FELT EASTER EGG BASKET,350,64,60,577.4999999999999,1.65
22023,EMPIRE BIRTHDAY CARD,1119,85,71,471.21000000000004,0.4295348837209302
22024,RAINY LADIES BIRTHDAY CARD,2268,130,90,913.87,0.42846153846153845
22025,RING OF ROSES BIRTHDAY CARD,1752,88,73,696.96,0.4152808988764045
22026,BANQUET BIRTHDAY  CARD,1548,101,71,637.2,0.41821782178217815
22027,TEA PARTY BIRTHDAY CARD,3973,265,180,1630.79,0.42413533834586464
22028,PENNY FARTHING BIRTHDAY CARD,2891,186,124,1193.41,0.4309090909090909
22029,SPACEBOY BIRTHDAY CARD,7822,395,234,3115.1,0.423459595959596
22030,SWALLOWS GREETING CARD,5337,242,179,2120.55,0.41921810699588474
22031,BOTANICAL LAVENDER BIRTHDAY CARD,351,33,28,153.57,0.4696969696969697
22032,BOTANICAL LILY GREETING CARD,361,31,28,151.62,0.42
22033,BOTANICAL ROSE GREETING CARD,336,21,20,141.12,0.42000000000000004
22034,ROBIN CHRISTMAS CARD,-9,2,2,-3.7800000000000002,0.42
22035,VINTAGE CARAVAN GREETING CARD,1394,87,65,569.02,0.42666666666666664
22037,ROBOT BIRTHDAY CARD,3747,257,173,1552.96,0.42065891472868217
22038,BOTANICAL LAVENDER GIFT WRAP,475,19,19,199.5,0.42
22039,BOTANICAL LILY GIFT WRAP,225,8,6,94.5,0.42
22040,BOTANICAL ROSE GIFT WRAP,725,28,27,304.5,0.42
22041,"RECORD FRAME 7"" SINGLE SIZE",3774,200,73,8357.07,2.4918719211822657
22042,CHRISTMAS CARD SINGING ANGEL,348,26,24,146.16,0.42
22043,CHRISTMAS CARD SCREEN PRINT,1188,43,40,283.32,0.23674418604651162
22044,CHRISTMAS CARD STACK OF PRESENTS,816,36,35,196.44,0.2602777777777778
22045,SPACEBOY GIFT WRAP,6427,208,148,2631.34,0.41865384615384615
22046,TEA PARTY  WRAPPING PAPER,2216,77,62,914.72,0.4189610389610389
22047,EMPIRE GIFT WRAP,3325,106,93,1352.5,0.41792452830188676
22048,BIRTHDAY BANQUET GIFT WRAP,950,33,32,383.0,0.41757575757575754
22049,WRAP CHRISTMAS SCREEN PRINT,975,32,27,260.0,0.2690625
22050,PINK PAISLEY ROSE GIFT WRAP,1200,41,37,488.0,0.4180487804878049
22051,BLUE SCANDINAVIAN PAISLEY WRAP,975,39,36,409.5,0.42
22052,VINTAGE CARAVAN GIFT WRAP,546,24,22,229.32,0.42
22053,EMPIRE DESIGN ROSETTE,4236,26,23,3596.4199999999996,1.2261538461538461
22055,MINI CAKE STAND  HANGING STRAWBERY,1228,149,103,1624.03,1.4514935064935064
22057,CERAMIC PLATE STRAWBERRY DESIGN,530,60,46,576.66,1.262
22059,CERAMIC STRAWBERRY DESIGN MUG,1715,150,85,1924.71,1.3092207792207793
22060,LARGE CAKE STAND HANGING HEARTS,215,40,32,1023.85,5.524390243902439
22061,LARGE CAKE STAND  HANGING STRAWBERY,548,144,87,3705.63,9.029444444444444
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,584,54,44,594.76,1.139322033898305
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,531,86,56,1088.8500000000001,2.7180898876404496
22064,PINK DOUGHNUT TRINKET POT,1567,178,87,2076.5499999999997,1.6342391304347825
22065,CHRISTMAS PUDDING TRINKET POT,6408,173,132,2861.42,0.6314754098360655
22066,LOVE HEART TRINKET POT,2227,133,100,1027.19,0.615985401459854
22067,CHOC TRUFFLE GOLD TRINKET POT,379,51,33,553.43,1.5173076923076922
22068,BLACK PIRATE TREASURE CHEST,419,83,57,480.92999999999995,1.4249999999999998
22069,BROWN  PIRATE TREASURE CHEST,218,37,26,237.47999999999996,1.417894736842105
22070,SMALL RED RETROSPOT MUG IN BOX,577,89,64,1694.14,3.847666666666667
22071,SMALL WHITE RETROSPOT MUG IN BOX,424,77,65,1114.54,3.56
22072,RED RETROSPOT TEA CUP AND SAUCER,788,148,91,2447.94,3.477368421052631
22073,RED RETROSPOT STORAGE JAR,286,47,38,1022.1,3.7059183673469387
22074,6 RIBBONS SHIMMERING PINKS,988,76,61,753.14,1.2164935064935065
22075,6 RIBBONS ELEGANT CHRISTMAS,1526,121,96,1985.12,1.5277235772357722
22076,6 RIBBONS EMPIRE,1034,113,96,1302.7199999999998,1.4291150442477873
22077,6 RIBBONS RUSTIC CHARM,8560,732,413,14913.739999999998,1.7782195448460507
22078,RIBBON REEL LACE DESIGN,1288,143,105,2584.8,2.0932432432432435
22079,RIBBON REEL HEARTS DESIGN,1671,228,190,2759.39,1.6988311688311688
22080,RIBBON REEL POLKADOTS,1157,127,116,1861.05,1.6468992248062015
22081,RIBBON REEL FLORA + FAUNA,575,90,74,961.87,1.7401098901098901
22082,RIBBON REEL STRIPES DESIGN,2505,336,250,4121.33,1.6823976608187134
22083,PAPER CHAIN KIT RETROSPOT,4218,448,295,11796.660000000002,2.9540979955456574
22084,PAPER CHAIN KIT EMPIRE,4844,376,278,13290.6,2.907068062827225
22085,PAPER CHAIN KIT SKULLS,507,73,62,1415.65,2.9283783783783788
22086,PAPER CHAIN KIT 50'S CHRISTMAS,15138,990,615,41423.78,2.9343632773938797
22087,PAPER BUNTING WHITE LACE,3696,265,155,10019.6,2.8803703703703705
22088,PAPER BUNTING COLOURED LACE,1642,172,115,4533.900000000001,2.9040229885057474
22089,PAPER BUNTING VINTAGE PAISLEY,1213,181,142,3395.55,2.9185792349726776
22090,PAPER BUNTING RETROSPOT,6829,575,325,18589.59,2.899378238341969
22091,EMPIRE TISSUE BOX,1930,131,97,910.9200000000001,0.5582442748091603
22092,BLUE PAISLEY TISSUE BOX,666,88,75,311.56,0.5076136363636364
22093,MOTORING TISSUE BOX,1811,154,115,789.8100000000001,0.5257692307692308
22094,RED RETROSPOT TISSUE BOX,2016,150,119,890.07,0.574640522875817
22095,LADS ONLY TISSUE BOX,1562,104,72,1416.53,0.6580180180180181
22096,PINK PAISLEY SQUARE TISSUE BOX,1351,110,89,559.4100000000001,0.5213157894736842
22097,SWALLOW SQUARE TISSUE BOX,1567,133,103,681.65,0.5302836879432624
22098,BOUDOIR SQUARE TISSUE BOX,1880,149,98,879.97,0.6620645161290323
22099,CARAVAN SQUARE TISSUE BOX,1390,123,96,692.32,0.61171875
22100,SKULLS SQUARE TISSUE BOX,727,38,34,304.17,0.6389473684210527
22101,MIRROR MOSAIC VOTIVE HOLDER,513,25,21,505.26000000000005,1.8748000000000002
22102,MIRROR MOSAIC T-LIGHT HOLDER,813,19,13,434.25,1.4510526315789474
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,671,18,13,492.63,1.3994444444444443
22104,MIRROR MOSAIC CANDLE PLATE,151,12,9,120.07,1.3641666666666667
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,266,11,9,338.5,3.35
22106,MIRROR MOSAIC HURRICANE LAMP,165,14,9,428.15000000000003,5.3428571428571425
22107,PIZZA PLATE IN BOX,270,73,46,886.23,3.538684210526316
22108,PING! MICROWAVE PLATE,101,28,16,246.53,2.855
22109,FULL ENGLISH BREAKFAST PLATE,1348,163,101,4871.16,3.830542168674699
22110,BIRD HOUSE HOT WATER BOTTLE,615,155,116,1556.9599999999998,2.577361963190184
22111,SCOTTIE DOG HOT WATER BOTTLE,4119,663,427,19505.45,4.897679640718563
22112,CHOCOLATE HOT WATER BOTTLE,5072,707,383,23239.760000000002,4.869705469845722
22113,GREY HEART HOT WATER BOTTLE,3118,515,339,12044.65,4.031233644859813
22114,HOT WATER BOTTLE TEA AND SYMPATHY,3695,518,325,15255.97,4.211230769230769
22115,METAL SIGN EMPIRE TEA,1495,183,152,1706.8100000000002,1.5037297297297296
22116,METAL SIGN HIS DINNER IS SERVED,493,91,65,483.19,1.21989010989011
22117,METAL SIGN HER DINNER IS SERVED,1290,72,58,3802.5,2.785416666666667
22118,JOY WOODEN BLOCK LETTERS,217,78,67,742.63,4.2676923076923075
22119,PEACE WOODEN BLOCK LETTERS,341,104,82,1692.71,6.172264150943396
22120,WELCOME  WOODEN BLOCK LETTERS,490,169,121,4707.2699999999995,9.866331360946745
22121,NOEL WOODEN BLOCK LETTERS,331,115,94,1918.9900000000002,6.062413793103448
22123,PING MICROWAVE APRON,442,72,59,793.5999999999999,2.1576712328767123
22124,SET OF 2 TEA TOWELS PING MICROWAVE,78,23,14,127.42,2.2886956521739132
22125,UNION JACK HOT WATER BOTTLE,4,1,1,23.8,5.95
22127,PARTY CONES CARNIVAL ASSORTED,402,20,20,479.7,1.2409523809523808
22128,PARTY CONES CANDY ASSORTED,1673,75,62,1972.69,1.2373333333333334
22129,PARTY CONES CANDY DECORATION,296,8,6,233.27999999999997,1.4375
22129,PARTY CONES CANDY TREE DECORATION,690,28,27,552.18,0.8360714285714286
22130,PARTY CONE CHRISTMAS DECORATION,1360,90,80,1156.0,0.8472043010752688
22131,FOOD CONTAINER SET 3 LOVE HEART,1883,181,115,3356.77,2.0393548387096776
22132,RED LOVE HEART SHAPE CUP,923,84,60,762.71,0.8561904761904762
22133,PINK LOVE HEART SHAPE CUP,702,60,41,585.78,0.8738333333333334
22134,LADLE LOVE HEART RED,6,1,1,2.52,0.42
22134,MINI LADLE LOVE HEART RED,630,54,28,252.24,0.4636363636363636
22135,LADLE LOVE HEART PINK,19,3,3,7.98,0.42
22135,MINI LADLE LOVE HEART PINK,242,45,20,106.56,0.46555555555555556
22136,LOVE HEART SOCK HANGER,332,51,37,528.8,1.6424528301886792
22137,BATHROOM SET LOVE HEART DESIGN,68,11,9,191.0,2.913636363636364
22138,BAKING SET 9 PIECE RETROSPOT,4718,881,585,22642.0,4.983152542372881
22139,RETROSPOT TEA SET CERAMIC 11 PC,4197,839,489,20230.93,4.995041617122473
22141,CHRISTMAS CRAFT TREE TOP ANGEL,2435,351,256,4998.280000000001,2.1462290502793295
22142,CHRISTMAS CRAFT WHITE FAIRY,3059,323,259,4318.99,1.4963855421686747
22144,CHRISTMAS CRAFT LITTLE FRIENDS,3415,424,319,7016.8,2.1476674364896073
22145,CHRISTMAS CRAFT HEART STOCKING,30,1,1,63.0,2.1
22146,EASTER CRAFT IVY WREATH WITH CHICK,1,1,1,1.95,1.95
22147,FELTCRAFT BUTTERFLY HEARTS,5246,444,287,7205.099999999999,1.4636244541484718
22148,EASTER CRAFT 4 CHICKS,1798,161,148,3326.1,1.9371951219512193
22149,FELTCRAFT 6 FLOWER FRIENDS,5259,470,337,10391.29,2.102878151260504
22150,3 STRIPEY MICE FELTCRAFT,2903,406,288,5439.05,1.9641463414634146
22151,PLACE SETTING WHITE HEART,13963,294,175,5590.23,0.42926910299003324
22152,PLACE SETTING WHITE STAR,2346,95,70,965.4499999999999,0.43161616161616156
22153,ANGEL DECORATION STARS ON DRESS,2329,89,62,958.02,0.4187234042553191
22154,ANGEL DECORATION 3 BUTTONS,3521,114,87,1452.9,0.4194915254237288
22155,STAR DECORATION RUSTIC,2153,86,67,904.26,0.41999999999999993
22156,HEART DECORATION WITH PEARLS,1768,165,106,1498.25,0.863764705882353
22157,ANGEL DECORATION WITH LACE PADDED,212,11,11,180.2,0.85
22158,3 HEARTS HANGING DECORATION RUSTIC,2820,269,201,7941.96,2.9742962962962967
22161,HEART DECORATION RUSTIC HANGING,4114,154,118,851.36,0.23116959064327486
22162,HEART GARLAND RUSTIC PADDED,97,29,21,280.25,2.8548387096774195
22163,HEART STRING MEMO HOLDER HANGING,601,51,41,561.19,1.360566037735849
22164,STRING OF STARS CARD HOLDER,71,12,11,209.45000000000005,2.9500000000000006
22165,"DIAMANTE HEART SHAPED WALL MIRROR,",266,39,27,1477.9,10.39102564102564
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,119,18,13,466.05000000000007,7.672222222222222
22167,OVAL WALL MIRROR DIAMANTE,116,62,41,1000.25,9.696825396825396
22168,ORGANISER WOOD ANTIQUE WHITE,127,85,71,1060.8,8.39
22169,FAMILY ALBUM WHITE PICTURE FRAME,1044,302,165,8165.89,8.380099337748344
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1004,230,142,6259.5,6.743739130434783
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1596,320,173,11300.73,8.36346875
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2048,343,210,5987.62,3.06606936416185
22174,PHOTO CUBE,2667,169,104,3997.91,1.728081395348837
22175,PINK OWL SOFT TOY,837,141,85,2373.15,2.9414893617021276
22176,BLUE OWL SOFT TOY,486,100,62,1414.5000000000002,2.946078431372549
22178,VICTORIAN GLASS HANGING T-LIGHT,21955,839,403,28111.71,1.431767497034401
22179,SET 10 LIGHTS NIGHT OWL,399,82,54,2539.65,6.701807228915663
22179,SET 10 NIGHT OWL LIGHTS,367,102,59,2385.39,6.751346153846153
22180,RETROSPOT LAMP,279,143,93,2728.2,9.90944055944056
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,550,48,40,455.02,0.8472916666666667
22182,CAKE STAND VICTORIAN FILIGREE SMALL,201,38,30,698.95,4.463157894736842
22183,CAKE STAND VICTORIAN FILIGREE MED,72,19,16,458.0,6.228947368421053
22184,CAKE STAND VICTORIAN FILIGREE LARGE,6,6,5,51.0,8.5
22185,SLATE TILE NATURAL HANGING,1390,126,111,1974.1999999999998,1.5909375
22186,RED STAR CARD HOLDER,748,122,112,1591.64,2.312276422764228
22187,GREEN CHRISTMAS TREE CARD HOLDER,1179,148,124,2547.5699999999997,2.579066666666667
22188,BLACK HEART CARD HOLDER,4842,167,123,12254.0,3.798802395209581
22189,CREAM HEART CARD HOLDER,8180,457,274,22656.32,3.8768627450980393
22190,LOCAL CAFE MUG,566,52,38,785.13,1.8186538461538464
22191,IVORY DINER WALL CLOCK,1075,407,241,8874.0,8.460609756097561
22192,BLUE DINER WALL CLOCK,886,345,180,7360.63,8.481681159420289
22193,RED DINER WALL CLOCK,1325,425,207,10855.94,8.493388235294118
22194,BLACK DINER WALL CLOCK,51,34,24,433.5,8.5
22195,LARGE HEART MEASURING SPOONS,1695,221,148,2835.2699999999995,1.7353097345132744
22196,SMALL HEART MEASURING SPOONS,2350,251,147,1984.4999999999998,0.8697276264591439
22197,POPCORN HOLDER,30492,668,296,23088.1,0.8411320754716981
22197,SMALL POPCORN HOLDER,18197,417,228,13752.23,0.83270783847981
22198,LARGE POPCORN HOLDER,830,68,44,1301.1,1.6205882352941174
22199,FRYING PAN RED POLKADOT,1,1,1,4.25,4.25
22199,FRYING PAN RED RETROSPOT,374,99,71,1289.0,3.8055555555555554
22200,FRYING PAN PINK POLKADOT,322,77,51,1194.54,3.8851282051282054
22201,FRYING PAN BLUE POLKADOT,106,42,29,357.5,3.8095238095238093
22202,MILK PAN PINK POLKADOT,38,18,16,142.5,3.75
22203,MILK PAN RED RETROSPOT,308,93,75,988.63,3.560967741935484
22204,MILK PAN BLUE POLKADOT,91,32,23,283.75,3.371212121212121
22207,FRYING PAN UNION FLAG,1124,117,68,4444.86,4.423675213675213
22208,WOOD STAMP SET THANK YOU,1270,201,148,1217.51,0.993816425120773
22209,WOOD STAMP SET HAPPY BIRTHDAY,808,122,100,788.7099999999999,0.9939837398373983
22210,WOOD STAMP SET BEST WISHES,912,142,117,820.91,0.9662837837837838
22211,WOOD STAMP SET FLOWERS,734,127,101,737.13,0.9859848484848486
22212,FOUR HOOK  WHITE LOVEBIRDS,1393,260,146,2856.57,2.1095849056603777
22214,CANDLE PLATE LACE WHITE,114,21,18,246.7,2.3823809523809523
22215,CAKE STAND WHITE TWO TIER LACE,328,91,72,2237.5,7.435164835164835
22216,T-LIGHT HOLDER WHITE LACE,327,20,17,182.31,0.7144999999999999
22217,T-LIGHT HOLDER HANGING LACE,724,65,63,596.26,0.9986153846153846
22218,CAKE STAND LACE WHITE,1,1,1,4.25,4.25
22219,LOVEBIRD HANGING DECORATION WHITE,3341,314,190,2792.27,0.8608668730650155
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,191,83,66,1288.05,8.548192771084338
22221,CAKE STAND LOVEBIRD 2 TIER PINK,122,46,38,944.5,9.157608695652174
22222,CAKE PLATE LOVEBIRD WHITE,824,149,104,2599.2,4.307046979865772
22223,CAKE PLATE LOVEBIRD PINK,315,42,34,902.85,4.096511627906977
22224,WHITE LOVEBIRD LANTERN,683,117,89,1958.8500000000001,2.9059322033898307
22227,HANGING HEART MIRROR DECORATION,1967,172,83,1275.5500000000002,0.6646739130434782
22228,BUNNY WOODEN PAINTED WITH BIRD,849,94,81,595.61,0.6982978723404255
22229,BUNNY WOODEN PAINTED WITH FLOWER,493,63,54,332.57,0.6730769230769231
22230,JIGSAW TREE WITH WATERING CAN,909,67,51,342.64,0.564927536231884
22231,JIGSAW TREE WITH BIRDHOUSE,798,115,93,726.0799999999999,0.9605084745762711
22232,JIGSAW TOADSTOOLS 3 PIECE,559,66,54,451.71,0.9112121212121211
22233,JIGSAW RABBIT AND BIRDHOUSE,519,81,71,481.10999999999996,1.0442857142857143
22236,CAKE STAND 3 TIER MAGIC GARDEN,263,99,67,3115.6499999999996,12.513636363636362
22241,GARLAND WOODEN HAPPY EASTER,1758,168,125,2142.9700000000003,1.2466470588235294
22242,5 HOOK HANGER MAGIC TOADSTOOL,597,30,23,908.2499999999999,1.63
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,3043,111,71,4576.95,1.632300884955752
22244,3 HOOK HANGER MAGIC GARDEN,1599,102,67,2880.45,1.9266990291262134
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",1193,58,44,961.01,0.8433898305084745
22246,"GARLAND, MAGIC GARDEN 1.8M",12,1,1,23.4,1.95
22246,MAGIC GARDEN FELT GARLAND,254,36,31,508.38,2.192222222222222
22247,BUNNY DECORATION MAGIC GARDEN,483,56,54,406.39,0.8477966101694915
22248,DECORATION  PINK CHICK MAGIC GARDEN,362,46,43,303.53999999999996,0.8472916666666667
22249,DECORATION WHITE CHICK MAGIC GARDEN,625,76,73,527.09,0.8483544303797468
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,443,58,57,372.39,0.8477966101694915
22251,BIRDHOUSE DECORATION MAGIC GARDEN,502,75,67,622.94,1.2475324675324675
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,637,68,48,754.07,1.2364285714285714
22254,FELT TOADSTOOL LARGE,594,41,33,706.02,1.2453658536585366
22255,FELT TOADSTOOL  SMALL,542,44,33,460.7,0.85
22256,FELT FARM ANIMAL CHICKEN,257,33,32,321.25,1.25
22257,FELT FARM ANIMAL SHEEP,283,16,16,194.39,1.1577777777777778
22258,FELT FARM ANIMAL RABBIT,715,38,35,535.1899999999999,1.1407894736842106
22259,FELT FARM ANIMAL HEN,384,16,16,240.96,1.0547058823529412
22260,FELT EGG COSY BLUE RABBIT,406,48,37,348.21999999999997,0.9111764705882353
22261,FELT EGG COSY WHITE RABBIT,510,71,61,438.96,0.8921621621621622
22262,FELT EGG COSY CHICKEN,915,92,62,780.87,0.8660824742268041
22263,FELT EGG COSY LADYBIRD,206,19,14,92.49,0.858095238095238
22264,FELT FARM ANIMAL WHITE BUNNY,1391,40,38,517.07,0.6614285714285715
22265,EASTER DECORATION NATURAL CHICK,510,48,42,331.50000000000006,0.65
22266,EASTER DECORATION HANGING BUNNY,1860,78,69,562.7,0.46058823529411763
22267,EASTER DECORATION EGG BUNNY,828,75,67,654.7,0.9683116883116883
22268,DECORATION SITTING BUNNY,1296,42,32,250.20000000000002,0.205
22268,EASTER DECORATION SITTING BUNNY,500,55,44,406.28,0.8477192982456141
22269,EGG CUP NATURAL CHICKEN,840,87,62,520.48,0.9270454545454545
22270,HAPPY EASTER HANGING DECORATION,203,45,35,744.33,3.7346808510638296
22271,FELTCRAFT DOLL ROSIE,1640,258,181,4678.52,2.9673846153846157
22272,FELTCRAFT DOLL MARIA,193,47,44,550.15,2.941666666666667
22273,FELTCRAFT DOLL MOLLY,3017,298,212,8235.59,2.9634883720930234
22274,FELTCRAFT DOLL EMILY,1287,233,168,3690.8500000000004,2.988454935622318
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,69,1,1,527.85,7.65
22276,WASH BAG VINTAGE ROSE PAISLEY,246,64,53,627.3,2.55
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,355,63,54,728.62,2.224920634920635
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,237,85,59,1173.15,4.95
22279,POCKET BAG BLUE PAISLEY RED SPOT,476,47,44,573.41,1.2708163265306123
22280,POCKET BAG PINK PAISELY BROWN SPOT,176,30,26,223.63,1.3670967741935485
22281,EASTER TREE YELLOW BIRDS,108,43,35,642.6,5.95
